vocabulary size: 137
n tunes: 23637
n train tunes: 22437.0
n validation tunes: 1200.0
min, max length 48 1954
Building the model
number of parameters: 5621722
Train model
1/89748 (epoch 0.002) train_loss=4.95770550 time/batch=1.47s
2/89748 (epoch 0.004) train_loss=4.77676821 time/batch=0.45s
3/89748 (epoch 0.007) train_loss=4.00372696 time/batch=0.51s
4/89748 (epoch 0.009) train_loss=3.78090334 time/batch=1.98s
5/89748 (epoch 0.011) train_loss=3.80169249 time/batch=0.44s
6/89748 (epoch 0.013) train_loss=3.45281172 time/batch=1.73s
7/89748 (epoch 0.016) train_loss=3.46178770 time/batch=0.84s
8/89748 (epoch 0.018) train_loss=3.43227649 time/batch=1.28s
9/89748 (epoch 0.020) train_loss=3.50116396 time/batch=2.26s
10/89748 (epoch 0.022) train_loss=3.40972710 time/batch=1.29s
11/89748 (epoch 0.025) train_loss=3.29200554 time/batch=0.51s
12/89748 (epoch 0.027) train_loss=3.44007564 time/batch=2.71s
13/89748 (epoch 0.029) train_loss=3.34493971 time/batch=1.78s
14/89748 (epoch 0.031) train_loss=3.45531726 time/batch=3.92s
15/89748 (epoch 0.033) train_loss=3.30787826 time/batch=1.13s
16/89748 (epoch 0.036) train_loss=3.24731231 time/batch=0.47s
17/89748 (epoch 0.038) train_loss=3.35362720 time/batch=5.58s
18/89748 (epoch 0.040) train_loss=3.28269529 time/batch=1.32s
19/89748 (epoch 0.042) train_loss=3.23430014 time/batch=1.16s
20/89748 (epoch 0.045) train_loss=3.26050043 time/batch=0.94s
21/89748 (epoch 0.047) train_loss=3.26810598 time/batch=1.02s
22/89748 (epoch 0.049) train_loss=3.25567007 time/batch=0.39s
23/89748 (epoch 0.051) train_loss=3.22235155 time/batch=1.11s
24/89748 (epoch 0.053) train_loss=3.28860950 time/batch=1.47s
25/89748 (epoch 0.056) train_loss=3.27640700 time/batch=1.35s
26/89748 (epoch 0.058) train_loss=3.28526354 time/batch=0.40s
27/89748 (epoch 0.060) train_loss=3.33621645 time/batch=1.36s
28/89748 (epoch 0.062) train_loss=3.24384046 time/batch=0.82s
29/89748 (epoch 0.065) train_loss=3.22536612 time/batch=0.37s
30/89748 (epoch 0.067) train_loss=3.35586977 time/batch=0.26s
