vocabulary size: 137
n tunes: 23637
n train tunes: 22437.0
n validation tunes: 1200.0
min, max length 48 1954
Building the model
number of parameters: 5621722
Train model
1/44874 (epoch 0.002) train_loss=4.98507118 time/batch=1.47s
2/44874 (epoch 0.004) train_loss=4.78360176 time/batch=0.46s
3/44874 (epoch 0.007) train_loss=4.25820303 time/batch=0.52s
4/44874 (epoch 0.009) train_loss=3.79531479 time/batch=2.01s
5/44874 (epoch 0.011) train_loss=3.49823022 time/batch=0.45s
6/44874 (epoch 0.013) train_loss=3.53621674 time/batch=1.74s
7/44874 (epoch 0.016) train_loss=3.49976063 time/batch=0.84s
8/44874 (epoch 0.018) train_loss=3.41749668 time/batch=1.28s
9/44874 (epoch 0.020) train_loss=3.47034550 time/batch=2.26s
10/44874 (epoch 0.022) train_loss=3.39124942 time/batch=1.30s
11/44874 (epoch 0.025) train_loss=3.31618643 time/batch=0.51s
12/44874 (epoch 0.027) train_loss=3.44957733 time/batch=2.71s
13/44874 (epoch 0.029) train_loss=3.33885574 time/batch=1.85s
14/44874 (epoch 0.031) train_loss=3.44817138 time/batch=4.00s
15/44874 (epoch 0.033) train_loss=3.28704834 time/batch=1.13s
16/44874 (epoch 0.036) train_loss=3.25042987 time/batch=0.47s
17/44874 (epoch 0.038) train_loss=3.35965753 time/batch=5.58s
18/44874 (epoch 0.040) train_loss=3.29452515 time/batch=1.33s
19/44874 (epoch 0.042) train_loss=3.24731493 time/batch=1.17s
20/44874 (epoch 0.045) train_loss=3.27073002 time/batch=0.95s
21/44874 (epoch 0.047) train_loss=3.27650046 time/batch=1.03s
22/44874 (epoch 0.049) train_loss=3.25791979 time/batch=0.40s
23/44874 (epoch 0.051) train_loss=3.22341919 time/batch=1.11s
24/44874 (epoch 0.053) train_loss=3.28769016 time/batch=1.48s
25/44874 (epoch 0.056) train_loss=3.27750850 time/batch=1.37s
26/44874 (epoch 0.058) train_loss=3.29560423 time/batch=0.41s
27/44874 (epoch 0.060) train_loss=3.31762362 time/batch=1.37s
28/44874 (epoch 0.062) train_loss=3.23606968 time/batch=0.83s
29/44874 (epoch 0.065) train_loss=3.23691583 time/batch=0.37s
30/44874 (epoch 0.067) train_loss=3.34981990 time/batch=0.26s
